Taxon ID,Common Name,Scientific Name,Genus,Species,Plate
sagthr,Sage Thrasher,Oreoscoptes montanus,Oreoscoptes,montanus,
moublu,Mountain Bluebird,Sialia currucoides,Sialia,currucoides,
towsol,Townsend's Solitaire,Myadestes townsendi,Myadestes,townsendi,
swathr,Swainson's Thrush,Catharus ustulatus,Catharus,ustulatus,
orabis1,Northern Red Bishop,Euplectes franciscanus,Euplectes,franciscanus,
citwag,Citrine Wagtail,Motacilla citreola,Motacilla,citreola,
retpip,Red-throated Pipit,Anthus cervinus,Anthus,cervinus,
lawgol,Lawrence's Goldfinch,Spinus lawrencei,Spinus,lawrencei,
laplon,Lapland Longspur,Calcarius lapponicus,Calcarius,lapponicus,
graspa,Grasshopper Sparrow,Ammodramus savannarum,Ammodramus,savannarum,
clcspa,Clay-colored Sparrow,Spizella pallida,Spizella,pallida,
brespa,Brewer's Sparrow,Spizella breweri,Spizella,breweri,
bktspa,Black-throated Sparrow,Amphispiza bilineata,Amphispiza,bilineata,
larbun,Lark Bunting,Calamospiza melanocorys,Calamospiza,melanocorys,
amtspa,American Tree Sparrow,Spizelloides arborea,Spizelloides,arborea,
harspa,Harris's Sparrow,Zonotrichia querula,Zonotrichia,querula,
whtspa,White-throated Sparrow,Zonotrichia albicollis,Zonotrichia,albicollis,
sagspa1,Sagebrush Sparrow,Artemisiospiza nevadensis,Artemisiospiza,nevadensis,
belspa2,Bell's Sparrow,Artemisiospiza belli,Artemisiospiza,belli,
vesspa,Vesper Sparrow,Pooecetes gramineus,Pooecetes,gramineus,
rucspa,Rufous-crowned Sparrow,Aimophila ruficeps,Aimophila,ruficeps,
gnttow,Green-tailed Towhee,Pipilo chlorurus,Pipilo,chlorurus,
yebcha,Yellow-breasted Chat,Icteria virens,Icteria,virens,
hooori,Hooded Oriole,Icterus cucullatus,Icterus,cucullatus,
bulori,Bullock's Oriole,Icterus bullockii,Icterus,bullockii,
balori,Baltimore Oriole,Icterus galbula,Icterus,galbula,
norwat,Northern Waterthrush,Parkesia noveboracensis,Parkesia,noveboracensis,
bawwar,Black-and-white Warbler,Mniotilta varia,Mniotilta,varia,
tenwar,Tennessee Warbler,Leiothlypis peregrina,Leiothlypis,peregrina,
naswar,Nashville Warbler,Leiothlypis ruficapilla,Leiothlypis,ruficapilla,
macwar,MacGillivray's Warbler,Geothlypis tolmiei,Geothlypis,tolmiei,
norpar,Northern Parula,Setophaga americana,Setophaga,americana,
yelwar,Yellow Warbler,Setophaga petechia,Setophaga,petechia,
chswar,Chestnut-sided Warbler,Setophaga pensylvanica,Setophaga,pensylvanica,
bkpwar,Blackpoll Warbler,Setophaga striata,Setophaga,striata,
palwar,Palm Warbler,Setophaga palmarum,Setophaga,palmarum,
btywar,Black-throated Gray Warbler,Setophaga nigrescens,Setophaga,nigrescens,
towwar,Townsend's Warbler,Setophaga townsendi,Setophaga,townsendi,
herwar,Hermit Warbler,Setophaga occidentalis,Setophaga,occidentalis,
wlswar,Wilson's Warbler,Cardellina pusilla,Cardellina,pusilla,
westan,Western Tanager,Piranga ludoviciana,Piranga,ludoviciana,
bkhgro,Black-headed Grosbeak,Pheucticus melanocephalus,Pheucticus,melanocephalus,
blugrb1,Blue Grosbeak,Passerina caerulea,Passerina,caerulea,
lazbun,Lazuli Bunting,Passerina amoena,Passerina,amoena,
indbun,Indigo Bunting,Passerina cyanea,Passerina,cyanea,
